beerId,name,pubId,beerCategory,beerStyle,alcool
1,Hocus Pocus,812,11,116,4.5
2,Grimbergen Blonde,264,-1,-1,6.7
3,Widdershins Barleywine,779,-1,-1,9.1
4,Lucifer,287,-1,-1,8.5
5,Bitter,1056,-1,-1,4
6,Winter Warmer,1385,1,13,5.2
7,Winter Welcome 2007-2008,1099,-1,-1,6
8,Oatmeal Stout,1099,3,42,5
9,Espresso Porter,501,-1,-1,0
10,Chocolate Stout,545,3,42,0
11,Hitachino Nest Real Ginger Brew,742,-1,-1,7
12,JuJu Ginger,779,-1,-1,4
13,The Kidd Lager,545,7,86,0
14,Imperial Stout,1099,3,42,7
15,Oak-Aged Belgian Tripel,1315,-1,-1,9
16,Ultrablonde,168,-1,-1,8
17,Wiesen Edel Weisse,1023,4,50,6.2
18,Old Foghorn 2001,39,-1,-1,10
19,Framboise,196,-1,-1,6
20,Cow Palace Scotch Ale 1998,483,1,15,8.7
21,Bigfoot 2001,1142,-1,-1,9.6
22,Bigfoot 2002,1142,-1,-1,9.6
23,Bigfoot 2003,1142,-1,-1,9.6
24,Bigfoot 2004,1142,-1,-1,9.6
25,Bigfoot 2005,1142,-1,-1,9.6
26,Winter Ale,1220,1,13,5.9
27,Full Moon Winter Ale,878,5,72,5.6
28,Odell IPA,935,3,31,7
29,Ornery Amber Lager,1271,8,95,0
30,Cutthroat Porter,935,2,25,4.8
31,Maple Nut Brown Ale Ale,1271,3,38,0
32,Cocoa Porter,1271,-1,-1,0
33,Jenlain Blonde,190,-1,-1,7.5
34,Blonde,196,-1,-1,7.5
35,Flemish Primitive Wild Ale (Demon Fish),432,-1,-1,9
36,Witkap-Pater Tripel,294,-1,-1,7.5
37,Winter Cheer,1175,3,38,0
38,Canaster Winter Scotch,743,-1,-1,8.7
39,Sizteen,1307,-1,-1,10
40,Quelque Chose,1307,5,70,8
41,Kriek,277,-1,-1,7
42,Bi퀌�re Darbyste,170,11,116,0
43,Maracaibo Especial,723,3,38,7.5
44,Flemish Primitive Wild Ale (Pin Head),432,-1,-1,9
45,Calabaza Blanca,723,5,72,4.8
46,Porter,901,2,25,0
47,Cardinal Pale Ale,901,3,26,0
48,Zinnebir Xmas,176,-1,-1,6.6
49,Bridal Ale 2005,974,-1,-1,0
50,Zinnebir,176,3,26,0
51,Saison Imperiale,432,-1,-1,8.5
52,La Moneuse,170,-1,-1,8
53,Red Sled Winter Ale,901,-1,-1,0
54,Christmas Ale 2007,39,-1,-1,0
55,Equinox Dark Belgian Winter,176,-1,-1,8
56,Serafijn Christmas Angel,856,-1,-1,8
57,Obovoid Empirical Stout,160,3,43,8
58,Furious Beer,1221,3,31,6
59,Bender Beer,1221,3,38,5.1
60,Oak Aged Ebenezer,1315,-1,-1,9.4
61,Killer Penguin,160,3,35,10
62,Oatmeal Stout,236,3,42,0
63,Isolation Ale,935,11,141,6
64,Festive Ale 2007,501,-1,-1,0
65,Bourbon County Stout 2007,586,-1,-1,13
66,Twelve Days,670,3,42,5.5
67,Seriously Bad Elf,1056,-1,-1,9
68,Big Shot Seasonal Ale,905,2,25,0
69,God Jul - Winter Ale,923,3,42,8.5
70,Harvest Ale 2007,1142,3,26,6.7
71,Nut Cracker Ale,161,11,141,5.9
72,Goosinator Smoked Doppelbock 2007,779,8,95,0
73,Snow Bound Winter Ale,779,-1,-1,8.6
74,Warrior IPA,779,3,31,6.6
75,Petrus Oud Bruin,266,-1,-1,5.5
76,Petrus Gouden Tripel Ale,266,-1,-1,7.5
77,Petrus Blond Ale,266,-1,-1,6.6
78,Petrus Dubbel Bruin Ale,266,5,60,6.5
79,Petrus Speciale,266,3,26,5.5
80,Weizengold Hefefein,1202,4,50,5.1
81,Never Summer Ale,160,11,141,5.94
82,Modern Monks Belgian Blonde,1264,3,26,0
83,Grand Cru,1264,-1,-1,0
84,J퀌_rger Wei퀁�e Hell,210,4,50,0
85,OSB Premium Ale,1272,-1,-1,4.5
86,Morocco Ale,425,-1,-1,5.5
87,Glacier Ale,1047,3,33,0
88,Bent Nail IPA,1047,3,31,0
89,Espresso Porter,879,-1,-1,0
90,Harvest Ale,879,3,26,0
91,Stillwater Rye,879,-1,-1,0
92,Sharptail Pale Ale,879,3,26,0
93,Fat Belly Amber,879,3,33,0
94,Whitetail Wheat,879,8,95,0
95,Sandbagger Gold,879,-1,-1,0
96,Brunette Nut Brown Ale,901,3,38,0
97,Irish Red,901,-1,-1,0
98,Belgian Wit,901,-1,-1,0
99,EOS Hefeweizen,901,4,50,0
100,India Pale Ale,901,3,26,0
101,Winter Ale,1185,1,13,6.3
102,Pride & Joy Mild Ale,1260,1,10,0
103,Robert the Bruce Scottish Ale,1260,1,15,7
104,Lump of Coal Dark Holiday Stout,1056,3,42,8
105,Warm Welcome Nut Browned Ale,1056,3,38,6
106,Pendle Witches Brew,884,3,26,5.1
107,Carnegie Stark-Porter,345,2,25,5.5
108,Harvest Ale 2002,727,1,13,11.5
109,Woody Organic IPA,1075,3,31,6.2
110,Adriaan,620,-1,-1,5
111,Leute Bok Bier,304,7,90,7.5
112,La Folie Falling Rock,905,-1,-1,6
113,Oak Aged IPA,1315,-1,-1,6
114,Tikka Gold,304,3,26,5
115,La Divine Double Blond,179,-1,-1,7.5
116,La Divine Tripel Amber,179,-1,-1,9
117,Ename Tripel,292,-1,-1,8.5
118,Triple Dipsea Belgian,827,-1,-1,9.2
119,Oktoberfest Weizen,1019,-1,-1,5.7
120,Imperial Hefeweizen,1029,-1,-1,7.5
121,Triple Exultation Old Ale,481,1,13,9.7
122,Organic Gingerbread Ale,130,-1,-1,6.8
123,Falcon Pale Ale,1064,3,26,0
124,Buzzsaw Brown,441,3,38,4.8
125,Eisenbahn South American Pale Ale (S.A.P.A.),369,3,26,0
126,Geist Bock,584,7,90,6.1
127,Troll Porter,623,2,25,0
128,Dark Ale,397,1,10,4.5
129,Cinder Cone Red,441,3,33,5.4
130,LTD 02 Lager,562,7,90,6.4
131,Saison Vielle Provision,189,-1,-1,6.5
132,Organic Barley Wine Ale 2005,130,-1,-1,9.5
133,Old Boardhead 2006,562,-1,-1,9
134,Blue Dot Double India Pale Ale,622,3,32,7
135,Nugget,562,3,33,0
136,American Pale Ale,1175,3,26,0
137,471 Extra ESB,236,-1,-1,7.8
138,Odell Red Ale,935,3,33,6.5
139,Long Leg English Fuggles Hop Ale,335,-1,-1,0
140,Summer Lightning,671,-1,-1,5
141,Haymaker Extra Pale Ale,255,-1,-1,0
142,Pale Ale,447,3,26,0
143,Silk Lady,447,3,26,4.4
144,Danger Ale,447,3,38,5.2
145,Irish Style Ale,447,-1,-1,5.2
146,Yeti Special Export,1392,8,95,7
147,Steelie Brown Ale,1151,3,38,0
148,Bond Street 19th Anniversary,441,-1,-1,8.7
149,Trumpeter,1151,3,42,0
150,Nitro Porter,1264,2,25,0
151,Fourteen,62,-1,-1,9.46
152,Old Stock Ale 2007,919,1,13,11.7
153,Cold Hop,160,1,2,6.5
154,Hitachino Nest Espresso Stout,742,-1,-1,7.5
155,Witte,433,-1,-1,5
156,Slaapmutske Triple Nightcap,432,-1,-1,8.1
157,Biere de Mars,723,1,13,7
158,Kerst Pater Special Christmas Beer,300,-1,-1,9
159,Zoetzuur Flemish Ale,432,-1,-1,7
160,WPA (Wheat Pale Ale),869,-1,-1,0
161,Smoked Hefe,869,8,95,0
162,The Unforgiven Amber Ale,1084,3,33,5.8
163,Strange Ghost,192,-1,-1,8
164,Duke IPA,595,3,31,5.1
165,Broad Axe Stout,595,3,42,5
166,Northern Light Lager,595,8,95,4.4
167,Podge Belgian Imperial Stout,31,3,42,10.5
168,Okocim Porter,307,2,25,8.3
169,1809,458,-1,-1,5
170,Pannepot,433,-1,-1,10
171,Samurai,604,-1,-1,5.1
172,Crystal Ale,122,-1,-1,0
173,Gavroche French Red Ale,177,-1,-1,8.5
174,Coney Island Lager,1138,-1,-1,0
175,La Bi퀌�re des Collines van de Saisis,191,-1,-1,0
176,Dark Beer / Stiftsbr퀌_u,211,-1,-1,0
177,Luci퀌�rnaga,723,5,64,6.5
178,Cuv퀌�e des Champions 2003-2004,202,5,70,0
179,Beer Geek Breakfast,859,3,43,7.5
