name1,name2,number

Hocus Pocus,Hocus Pocus,1.0
Hocus Pocus,Grimbergen Blonde,1.0
Grimbergen Blonde,Hocus Pocus,1.0
Grimbergen Blonde,Grimbergen Blonde,1.0
Widdershins Barleywine,Widdershins Barleywine,0.9999999999999998
Widdershins Barleywine,Oatmeal Stout,0.7071067811865475
Widdershins Barleywine,Lucifer,0.4999999999999999
Lucifer,Lucifer,0.9999999999999998
Lucifer,Bitter,0.7071067811865475
Lucifer,Winter Welcome 2007-2008,0.7071067811865475
Lucifer,Widdershins Barleywine,0.4999999999999999
Bitter,Bitter,1.0
Bitter,Winter Welcome 2007-2008,1.0
Bitter,Lucifer,0.7071067811865475
Winter Welcome 2007-2008,Bitter,1.0
Winter Welcome 2007-2008,Winter Welcome 2007-2008,1.0
Winter Welcome 2007-2008,Lucifer,0.7071067811865475
Oatmeal Stout,Oatmeal Stout,1.0
Oatmeal Stout,Widdershins Barleywine,0.7071067811865475
