name1,name2,number

Aegir Kveite, Peroni, 1.0
Aegir Kveite, Aegir Kveite, 1.0
Alto Tevere, Alto Tevere, 1.0
Alto Tevere, Alto tevere goldie, 0.707
Alto Tevere, Guerilla, 0.707
Alto Tevere, Nastro Azzurro, 0.5
Nastro Azzurro, Nastro Azzurro, 1.0
Nastro Azzurro, Phantasmagoria, 0.707
Nastro Azzurro, Alto Tevere, 0.5
Alto tevere goldie, Alto tevere goldie, 1.0
Alto tevere goldie, Guerilla, 1.0
Alto tevere goldie, Alto Tevere, 0.707
Peroni, Peroni, 1.0
Peroni, Aegir Kveite, 1.0
Guerilla, Alto tevere goldie, 1.0
Guerilla, Guerilla, 1.0
Guerilla, Alto Tevere, 0.707
Phantasmagoria, Phantasmagoria, 1.0
Phantasmagoria, Nastro Azzurro, 0.707
